BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK101;2;1;2;Rapeseed;n;n;Unfermented;C1199;Pig;A;PigA;C1199 PigA;DUP65;s146
BRK102;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL2 EP100;Pig;C;PigC;XYL2 EP100 PigC;DUP66;s233
BRK103;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL2 EP1199;Pig;C;PigC;XYL2 EP1199 PigC;DUP67;s239
BRK104;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL2 EP200;Pig;A;PigA;XYL2 EP200 PigA;DUP68;s241
BRK105;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP100;Pig;B;PigB;XYL1 EP100 PigB;DUP69;s208
BRK106;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Pig;B;PigB;XYL1 EP1199 PigB;DUP70;s214
BRK107;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYL1 EP2299;Pig;B;PigB;XYL1 EP2299 PigB;DUP71;s226
BRK108;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Pig;B;PigB;XYL1 EP1199 PigB;DUP70;s213
BRK109;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Pig;C;PigC;XYL1 EP1199 PigC;DUP72;s215
BRK110;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP100;Pig;C;PigC;XYL1 EP100 PigC;DUP73;s210
BRK111;2;1;2;Xylan + Soybean+ Seaweed;y;y;Fermented;XYL1 EP200;Pig;C;PigC;XYL1 EP200 PigC;DUP74;s221
BRK112;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Pig;C;PigC;XYL1 EP1199 PigC;DUP72;s216
BRK113;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYLC EP1199;Pig;B;PigB;XYLC EP1199 PigB;DUP75;s261
BRK114;2;1;2;Xylan + Rapeseed+ Seaweed;y;y;Fermented;XYLC EP1199;Pig;A;PigA;XYLC EP1199 PigA;DUP76;s260
BRK115;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP2299;Pig;B;PigB;XYLC EP2299 PigB;DUP77;s273
BRK116;2;1;2;Xylan + Soybean + Seaweed;y;y;Fermented;XYLC EP200;Pig;B;PigB;XYLC EP200 PigB;DUP78;s267
BRK117;2;1;2;Xylan + Rapeseed+ Seaweed;y;y;Fermented;XYLC EP1199;Pig;A;PigA;XYLC EP1199 PigA;DUP76;s259
BRK118;2;1;2;Xylan + Soybean+ Seaweed;y;y;Fermented;XYLC EP2299;Pig;B;PigB;XYLC EP2299 PigB;DUP77;s274
BRK119;2;1;2;;;n;Unfermented;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVENEGATIVE;NEGATIVE NEGATIVENEGATIVE;DUP22;sP3N
BRK120;2;1;2;;;n;Unfermented;POSITIVE;POSTIVE;POSTIVE;POSTIVEPOSTIVE;POSITIVE POSTIVEPOSTIVE;DUP23;sP3P
BRK121;2;1;2;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYLC EP100;Pig;C;PigC;XYLC EP100 PigC;DUP79;s258
BRK122;2;1;2;Soybean+ Seaweed;n;y;Fermented;EP200;Pig;B;PigB;EP200 PigB;DUP80;s177
BRK123;2;1;2;Soybean+ Seaweed;n;y;Fermented;EP200;Pig;B;PigB;EP200 PigB;DUP80;s178
